airport_id,name,iso_country,iso_region,city,iata_code
42465,Montargis Vimory Airfield,FR,FR-CVL,"Vimory, Loiret",
42466,Tours Sorigny Airfield,FR,FR-CVL,Pontivy,
42468,Pouilly-Maconge Airfield,FR,FR-BFC,Meilly-sur-Rouvres,
42470,Redon Bains-sur-Oust Airfield,FR,FR-BRE,Redon,
42471,Guiscriff Scaer Airfield,FR,FR-BRE,Guiscriff,
42472,Til Châtel Airfield,FR,FR-BFC,Til Châtel,
42473,Bar-le-Duc Airfield,FR,FR-GES,Les Hauts-de-Chée,
42474,Gray Saint-Adrien Airfield,FR,FR-BFC,"Gray, Haute-Saône",
42475,Saulieu-Liernais Airfield,FR,FR-BFC,"Liernais, Côte-d'Or",
42476,Nancy Azelot Airfield,FR,FR-GES,"Azelot, Meurthe-et-Moselle",
42477,Île d'Yeu Airport,FR,FR-PDL,Île d'Yeu,IDY
42478,Nancy-Malzéville Airfield,FR,FR-GES,"Saint-Max, Meurthe-et-Moselle",
42480,Mantes-Chérence Airfield,FR,FR-IDF,"Chérence, Val-d'Oise",
42482,Enghien-Moisselles Airfield,FR,FR-IDF,"Attainville, Val-d'Oise",
42483,La Ferté-Gaucher Airfield,FR,FR-IDF,"La Ferté-Gaucher, Seine-et-Marne",
42484,Château-Thierry-Belleau Airfield,FR,FR-HDF,"Château-Thierry, Aisne",
42485,Ancenis Airfield,FR,FR-PDL,Ancenis,
42486,Joinville Mussey Airfield,FR,FR-GES,Mussey-sur-Marne,
42490,Brienne-le-Château Airfield,FR,FR-GES,Saint-Christophe-Dodinicourt,
42491,Beauvoir Fromentine Airfield,FR,FR-PDL,Fromentine,
42493,Cerny-La Ferté Alais Airfield,FR,FR-IDF,"Cerny, Essonne",
42494,Bar-sur-Seine Airfield,FR,FR-GES,"Celles-sur-Ource, Aube",
42495,Neufchâteau Airfield,FR,FR-GES,Neufchâteau,
42497,Vierzon - Méreau Airfield,FR,FR-CVL,Vierzon,
42499,Tournus Cuisery Airfield,FR,FR-BFC,"Cuisery, Saône-et-Loire",
42500,Étrépagny Airfield,FR,FR-NOR,Étrépagny,
42501,Sézanne-Saint-Remy Airfield,FR,FR-GES,"Saint-Remy-sous-Broyes, Marne",
42502,Colmar-Houssen Airport,FR,FR-GES,"Colmar, Haut-Rhin",CMR
42503,Mulhouse-Habsheim Airfield,FR,FR-GES,Mulhouse/Habsheim,
42504,Strasbourg Neuhof Airfield,FR,FR-GES,Strasbourg,
42507,Beaune-Challanges Airfield,FR,FR-BFC,Beaune/Challanges,
42508,Belfort Chaux Airfield,FR,FR-BFC,Chaux,
42510,Dijon Darois Airfield,FR,FR-BFC,"Darois, Côte-d'Or",
42511,Dole-Jura Airport,FR,FR-BFC,"Tavaux, Jura",DLE
42512,Joigny Airfield,FR,FR-BFC,"Joigny, Yonne",
42513,Lons-le-Saunier Courlaoux Airfield,FR,FR-BFC,Courlaoux,
42516,Pont-sur-Yonne Airfield,FR,FR-BFC,"Gisy-les-Nobles, Yonne",
42517,Saint-Florentin - Chéu Airfield,FR,FR-BFC,"Jaulges, Yonne",
42518,Semur-en-Auxois Airfield,FR,FR-BFC,"Semur-en-Auxois, Côte-d'Or",
42519,Doncourt-lès-Conflans Airfield,FR,FR-GES,Doncourt-lès-Conflans,
42520,Longuyon Villette Airfield,FR,FR-GES,"Longuyon, Meurthe-et-Moselle",
42521,Sarrebourg Buhl Airfield,FR,FR-GES,Buhl-Lorraine,
42524,Verdun-Le Rozelier Airfield,FR,FR-GES,Sommedieue,
42525,Champagnole-Crotenay Airfield,FR,FR-BFC,"Crotenay, Jura",
42526,Saint-Dié-Remomeix Airfield,FR,FR-GES,Remomeix,
42527,Nuits-Saint-Georges Airfield,FR,FR-BFC,"Nuits-Saint-Georges, Côte-d'Or",
42528,Issoire-Le Broc Airfield,FR,FR-ARA,"Le Broc, Alpes-Maritimes",
42530,Pierrelatte Airfield,FR,FR-ARA,"La Garde-Adhémar, Drôme",
42532,Ruoms Airfield,FR,FR-ARA,Ruoms,
42533,St Chamond L'Horme Airfield,FR,FR-ARA,Saintt Chamond,
42534,Vienne Reventin Airfield,FR,FR-ARA,"Reventin-Vaugris, Isère",
42535,Morestel Airfield,FR,FR-ARA,"Arandon-Passins, Isère",
42536,Lyon Corbas Airfield,FR,FR-ARA,Corbas,
42537,Langogne-Lespéron Airfield,FR,FR-ARA,"Lespéron, Ardèche",
42538,Megève Altiport,FR,FR-ARA,Megève,MVV
42539,Bellegarde-Vouvray Airfield,FR,FR-ARA,"Valserhône, Ain",
42540,Aubenas-Ardèche Méridional Airport,FR,FR-ARA,Aubenas/Ardèche Méridional,OBS
42541,Le Puy-Loudes Airfield,FR,FR-ARA,Le Puy/Loudes,LPY
42542,Saint-Flour-Coltines Airfield,FR,FR-ARA,Saint-Flour/Coltines,
42543,Brioude Beaumont Airfield,FR,FR-ARA,"Beaumont, Puy-de-Dôme",
42544,Bourg-Ceyzériat Airfield,FR,FR-ARA,Bourg/Ceyzériat,
42545,Ambert - Le Poyet Airfield,FR,FR-ARA,"Ambert, Puy-de-Dôme",
42546,Altiport L'Alpe d'Huez - Henri GIRAUD,FR,FR-ARA,L'Alpe d'Huez,AHZ
42547,Villefranche-Tarare Airfield,FR,FR-ARA,Villefranche/Tarare,
42548,Belleville Villié Morgon Airfield,FR,FR-ARA,"Belleville-en-Beaujolais, Rhône",
42550,Aérodrome de Moulins - Montbeugny,FR,FR-ARA,Moulins/Montbeugny,
42554,Saint-Affrique-Belmont Airfield,FR,FR-OCC,"Belmont-sur-Rance, Aveyron",
42555,Cassagnes-Bégonhès Airfield,FR,FR-OCC,Cassagnes-Bégonhès,
42557,Aérodrome de Ribérac-Tourette,FR,FR-NAQ,Ribérac,
42559,St Gaudens Montrejeau Airfield,FR,FR-OCC,Moulins,
42563,Saint-Inglevert Aerodrome,FR,FR-HDF,Saint-Inglevert,
42568,Chaumont-Semoutiers Airfield,FR,FR-GES,"Villiers-le-Sec, Haute-Marne",
42569,Mauléon Airfield,FR,FR-NAQ,Mauléon,
42576,Metz-Nancy-Lorraine Airport,FR,FR-GES,Goin,ETZ
42578,Angers-Loire Airport,FR,FR-PDL,"Marcé, Maine-et-Loire",ANE
42579,Soissons-Courmelles Airfield,FR,FR-HDF,"Soissons, Aisne",
42580,Tours Le Louroux Airfield,FR,FR-CVL,Angers,
42581,Aérodrome de Lurcy-Levis,FR,FR-ARA,Lurcy-Lévis,
42582,Aérodrome de Lasclaveries,FR,FR-NAQ,Lasclaveries,
42583,Chambley Airfield,FR,FR-GES,"Chambley-Bussières, Meurthe-et-Moselle",
42584,Albertville General Pierre Delachenal Airfield,FR,FR-ARA,Tournon,
42585,Bastia-Poretta Airport,FR,FR-COR,Bastia/Poretta,BIA
42586,Calvi-Sainte-Catherine Airport,FR,FR-COR,Calvi/Sainte-Catherine,CLY
42587,Sollières Sardières Airfield,FR,FR-ARA,Val-Cenis,
42589,Figari Sud-Corse Airport,FR,FR-COR,Figari Sud-Corse,FSC
42591,St Jean D'avelanne Airfield,FR,FR-ARA,Figari/Sud Corse,
42592,Ajaccio-Napoléon Bonaparte Airport,FR,FR-COR,Ajaccio/Napoléon Bonaparte,AJA
42593,Lyon Brindas Airfield,FR,FR-ARA,"Brindas, Rhône",
42595,Propriano Airport,FR,FR-COR,Propriano,PRP
42596,La Tour-de-Pin Airfield,FR,FR-ARA,"Cessieu, Isère",
42597,Solenzara (BA 126) Air Base,FR,FR-COR,Solenzara,SOZ
42598,Aérodrome de Corte,FR,FR-COR,Corte,
42599,Méribel Altiport,FR,FR-ARA,Les Allues,MFX
42600,Belley-Peyrieu Airfield,FR,FR-ARA,"Peyrieu, Ain",
42601,Saint-Claude Pratz Airfield,FR,FR-BFC,"Lavans-lès-Saint-Claude, Jura",
42602,Auxerre-Branches Airport,FR,FR-BFC,"Appoigny, Yonne",AUF
42603,Chambéry Savoie Mont Blanc Airport,FR,FR-ARA,Viviers-du-Lac,CMF
42604,Clermont-Ferrand Auvergne Airport,FR,FR-ARA,"Aulnat, Puy-de-Dôme",CFE
42605,Bourges Airport,FR,FR-CVL,"Bourges, Cher",BOU
42606,Chambéry Challes-les-Eaux Airfield,FR,FR-ARA,Barby,
42607,Aérodrome de Grenoble Le Versoud,FR,FR-ARA,Grenoble,
42608,Chalon-Champforgeuil Airfield,FR,FR-BFC,"Fragnes-la-Loyère, Saône-et-Loire",
42609,Annemasse Airfield,FR,FR-ARA,Annemasse,
42610,Courchevel Altiport,FR,FR-ARA,Saint-Bon,CVF
42612,Lyon Saint-Exupéry Airport,FR,FR-ARA,"Colombier-Saugnieu, Rhône",LYS
